,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,tena,-0.98,-77.82,80.6,78,40,8.05,EC,1592857006
366,xapuri,-10.65,-68.5,91.85,39,52,3.51,BR,1592857006
367,gorshechnoye,51.52,38.04,63.0,96,70,11.95,RU,1592857007
368,kurchum,48.57,83.65,56.97,57,0,6.08,KZ,1592857007
369,khanewal,30.3,71.93,93.2,56,0,4.7,PK,1592857007
370,cidreira,-30.18,-50.21,64.49,91,0,6.96,BR,1592857007
371,ca mau,9.18,105.15,78.67,87,99,2.51,VN,1592857007
372,acarau,-2.89,-40.12,81.43,75,22,9.31,BR,1592856826
373,narrabri,-30.32,149.78,44.01,87,75,5.82,AU,1592857007
374,urusha,54.05,122.9,44.98,97,26,4.14,RU,1592857007
375,kavieng,-2.57,150.8,83.53,69,62,4.41,PG,1592857007
376,kenora,49.82,-94.43,60.01,93,75,4.7,CA,1592857007
377,sao gabriel da cachoeira,-0.13,-67.09,84.2,74,40,4.7,BR,1592857007
378,dalvik,65.97,-18.53,53.6,66,96,16.11,IS,1592857007
379,newcastle,-32.93,151.78,48.2,81,0,13.87,AU,1592856942
380,mpika,-11.83,31.45,54.99,58,0,3.69,ZM,1592857007
381,sibolga,1.74,98.78,76.33,85,100,1.12,ID,1592857007
382,touros,-5.2,-35.46,78.8,78,40,8.05,BR,1592857008
383,muhos,64.81,25.99,66.2,55,0,8.05,FI,1592857008
